Rule,X Coordinate of Mass Center,Y Coordinate of Mass Center,Distance to Physical Center
GOLDENTRIANGLE,274,434,38.483765
GOLDENTRIANGLE,298,474,9.433981
GOLDENTRIANGLE,299,477,12.0415945
GOLDENTRIANGLE,290,464,5.0
GOLDENTRIANGLE,298,476,10.630146
GOLDENTRIANGLE,292,472,3.6055512
GOLDENTRIANGLE,270,442,33.600594
GOLDENTRIANGLE,286,461,8.944272
GOLDENTRIANGLE,233,595,138.29317
GOLDENTRIANGLE,304,451,22.803509
GOLDENTRIANGLE,274,426,45.88028
GOLDENTRIANGLE,306,445,28.84441
GOLDENTRIANGLE,308,445,30.0
GOLDENTRIANGLE,291,468,1.4142135
GOLDENTRIANGLE,302,444,27.730848
GOLDENTRIANGLE,297,459,12.206555
GOLDENTRIANGLE,254,539,78.714676
GOLDENTRIANGLE,273,464,17.720045
GOLDENTRIANGLE,314,559,93.14505
GOLDENTRIANGLE,285,454,15.811388
GOLDENTRIANGLE,264,424,51.971146
GOLDENTRIANGLE,283,439,30.805843
GOLDENTRIANGLE,284,449,20.880613
GOLDENTRIANGLE,286,469,4.0
GOLDENTRIANGLE,283,447,23.086792
GOLDENTRIANGLE,309,512,47.010635
GOLDENTRIANGLE,324,544,82.346825
GOLDENTRIANGLE,290,461,8.0
GOLDENTRIANGLE,285,533,64.195015
GOLDENTRIANGLE,304,443,29.529646
GOLDENTRIANGLE,271,430,43.382023
GOLDENTRIANGLE,306,423,48.703182
GOLDENTRIANGLE,306,437,35.77709
GOLDENTRIANGLE,294,473,5.656854
GOLDENTRIANGLE,305,436,36.249138
GOLDENTRIANGLE,279,557,88.68484
GOLDENTRIANGLE,297,461,10.630146
GOLDENTRIANGLE,284,486,18.027756
GOLDENTRIANGLE,260,425,53.25411
GOLDENTRIANGLE,301,482,17.029387
GOLDENTRIANGLE,272,450,26.172504
GOLDENTRIANGLE,297,482,14.764823
GOLDENTRIANGLE,298,480,13.601471
GOLDENTRIANGLE,295,476,8.602325
GOLDENTRIANGLE,300,476,12.206555
GOLDENTRIANGLE,299,484,17.492855
GOLDENTRIANGLE,259,415,62.26556
GOLDENTRIANGLE,286,443,26.305893
GOLDENTRIANGLE,302,613,144.49913
GOLDENTRIANGLE,300,433,37.363083
GOLDENTRIANGLE,275,409,61.846584
GOLDENTRIANGLE,297,422,47.518417
GOLDENTRIANGLE,302,424,46.572525
GOLDENTRIANGLE,295,452,17.720045
GOLDENTRIANGLE,297,423,46.52956
GOLDENTRIANGLE,300,560,91.5478
GOLDENTRIANGLE,299,457,15.0
GOLDENTRIANGLE,269,458,23.70654
GOLDENTRIANGLE,331,580,118.33005
GOLDENTRIANGLE,271,441,33.83785
GOLDENTRIANGLE,264,428,48.548943
GOLDENTRIANGLE,266,421,53.66563
GOLDENTRIANGLE,270,432,42.059483
GOLDENTRIANGLE,285,479,11.18034
GOLDENTRIANGLE,269,432,42.544094
GOLDENTRIANGLE,264,433,44.407207
GOLDENTRIANGLE,301,507,39.56008
GOLDENTRIANGLE,275,465,15.524175
GOLDENTRIANGLE,326,561,98.79271
GOLDENTRIANGLE,287,462,7.615773
GOLDENTRIANGLE,268,432,43.046486
GOLDENTRIANGLE,280,440,30.675724
GOLDENTRIANGLE,282,451,19.697716
GOLDENTRIANGLE,290,467,2.0
GOLDENTRIANGLE,282,450,20.615528
GOLDENTRIANGLE,346,615,156.37135
GOLDENTRIANGLE,282,460,12.0415945
GOLDENTRIANGLE,289,458,11.045361
GOLDENTRIANGLE,228,479,62.801273
GOLDENTRIANGLE,307,449,26.24881
GOLDENTRIANGLE,279,420,50.219517
GOLDENTRIANGLE,315,432,44.65423
GOLDENTRIANGLE,314,444,34.655445
GOLDENTRIANGLE,286,457,12.649111
GOLDENTRIANGLE,309,443,32.202484
GOLDENTRIANGLE,227,488,65.802734
GOLDENTRIANGLE,295,449,20.615528
GOLDENTRIANGLE,278,458,16.27882
GOLDENTRIANGLE,290,558,89.0
GOLDENTRIANGLE,286,448,21.377558
GOLDENTRIANGLE,269,424,49.658836
GOLDENTRIANGLE,289,434,35.014282
GOLDENTRIANGLE,290,439,30.0
GOLDENTRIANGLE,290,466,3.0
GOLDENTRIANGLE,288,437,32.06244
GOLDENTRIANGLE,295,534,65.192024
GOLDENTRIANGLE,294,516,47.169907
GOLDENTRIANGLE,263,454,30.88689
GOLDENTRIANGLE,301,504,36.687874
GOLDENTRIANGLE,274,449,25.612497
GOLDENTRIANGLE,249,420,63.89053
GOLDENTRIANGLE,275,445,28.301943
GOLDENTRIANGLE,273,448,27.018513
GOLDENTRIANGLE,280,461,12.806249
GOLDENTRIANGLE,269,444,32.649654
GOLDENTRIANGLE,295,477,9.433981
GOLDENTRIANGLE,295,471,5.3851647
GOLDENTRIANGLE,269,457,24.186773
GOLDENTRIANGLE,318,570,104.80935
GOLDENTRIANGLE,275,437,35.341194
GOLDENTRIANGLE,261,428,50.219517
GOLDENTRIANGLE,269,427,46.957428
GOLDENTRIANGLE,277,442,29.966648
GOLDENTRIANGLE,287,469,3.0
GOLDENTRIANGLE,274,434,38.483765
GOLDENTRIANGLE,287,468,3.1622777
GOLDENTRIANGLE,298,495,27.202942
GOLDENTRIANGLE,281,477,12.0415945
GOLDENTRIANGLE,329,522,65.802734
GOLDENTRIANGLE,288,464,5.3851647
GOLDENTRIANGLE,276,449,24.41311
GOLDENTRIANGLE,286,455,14.56022
GOLDENTRIANGLE,287,462,7.615773
GOLDENTRIANGLE,296,478,10.816654
GOLDENTRIANGLE,288,457,12.165525
GOLDENTRIANGLE,298,481,14.422205
GOLDENTRIANGLE,302,483,18.439089
GOLDENTRIANGLE,272,459,20.59126
GOLDENTRIANGLE,239,464,51.24451
GOLDENTRIANGLE,285,456,13.928389
GOLDENTRIANGLE,263,425,51.62364
GOLDENTRIANGLE,288,452,17.117243
GOLDENTRIANGLE,283,451,19.313208
GOLDENTRIANGLE,282,451,19.697716
GOLDENTRIANGLE,285,450,19.646883
GOLDENTRIANGLE,273,425,47.169907
GOLDENTRIANGLE,275,454,21.213203
GOLDENTRIANGLE,290,477,8.0
GOLDENTRIANGLE,199,421,102.88343
GOLDENTRIANGLE,309,478,21.023796
GOLDENTRIANGLE,280,437,33.526108
GOLDENTRIANGLE,311,476,22.135944
GOLDENTRIANGLE,311,477,22.472204
GOLDENTRIANGLE,294,464,6.4031243
GOLDENTRIANGLE,308,471,18.110771
GOLDENTRIANGLE,289,468,1.4142135
GOLDENTRIANGLE,297,479,12.206555
GOLDENTRIANGLE,275,446,27.45906
GOLDENTRIANGLE,316,656,188.79883
GOLDENTRIANGLE,284,425,44.407207
GOLDENTRIANGLE,268,429,45.65085
GOLDENTRIANGLE,282,409,60.530983
GOLDENTRIANGLE,280,415,54.91812
GOLDENTRIANGLE,289,464,5.0990195
GOLDENTRIANGLE,282,417,52.611786
GOLDENTRIANGLE,290,458,11.0
GOLDENTRIANGLE,300,515,47.07441
GOLDENTRIANGLE,271,469,19.0
GOLDENTRIANGLE,346,423,72.47068
GOLDENTRIANGLE,277,464,13.928389
GOLDENTRIANGLE,262,430,48.010414
GOLDENTRIANGLE,273,463,18.027756
GOLDENTRIANGLE,276,461,16.124516
GOLDENTRIANGLE,290,462,7.0
GOLDENTRIANGLE,276,457,18.439089
GOLDENTRIANGLE,333,462,43.56604
GOLDENTRIANGLE,324,432,50.24938
GOLDENTRIANGLE,266,458,26.400757
GOLDENTRIANGLE,310,480,22.825424
GOLDENTRIANGLE,278,448,24.186773
GOLDENTRIANGLE,256,417,62.1289
GOLDENTRIANGLE,276,447,26.076809
GOLDENTRIANGLE,278,445,26.832815
GOLDENTRIANGLE,279,458,15.556349
GOLDENTRIANGLE,276,435,36.769554
GOLDENTRIANGLE,290,493,24.0
GOLDENTRIANGLE,279,446,25.495098
GOLDENTRIANGLE,278,466,12.369317
GOLDENTRIANGLE,282,442,28.160255
GOLDENTRIANGLE,289,459,10.049875
GOLDENTRIANGLE,272,438,35.846897
GOLDENTRIANGLE,290,452,17.0
GOLDENTRIANGLE,291,463,6.0827627
GOLDENTRIANGLE,288,466,3.6055512
GOLDENTRIANGLE,289,450,19.026299
GOLDENTRIANGLE,286,455,14.56022
GOLDENTRIANGLE,288,465,4.472136
GOLDENTRIANGLE,282,478,12.0415945
GOLDENTRIANGLE,256,368,106.56923
GOLDENTRIANGLE,296,474,7.81025
GOLDENTRIANGLE,273,443,31.06445
GOLDENTRIANGLE,297,467,7.28011
GOLDENTRIANGLE,299,474,10.29563
GOLDENTRIANGLE,290,463,6.0
GOLDENTRIANGLE,296,467,6.3245554
GOLDENTRIANGLE,274,431,41.231056
GOLDENTRIANGLE,254,382,94.15413
